Text,Sentiment
I absolutely love this phone! The battery life is amazing.,Positive
Worst experience ever. I will never shop here again!,Negative
"The movie was just okay, nothing special.",Positive
Had an amazing dinner at this new restaurant! Highly recommend it.,Positive
"The service was terrible, waited over an hour for food.",Negative
This new laptop is super fast and efficient!,Positive
I don’t know what to think about this product.,Neutral
"Fantastic customer support, they solved my issue in minutes.",Positive
"Not impressed at all, expected much better quality.",Negative
The game is fun but has too many bugs.,Positive
Such a wonderful day at the beach!,Positive
Horrible! The worst app I have ever used.,Negative
"This book changed my life, absolutely inspiring.",Positive
"Decent headphones, good sound quality but not comfortable.",Positive
Super disappointed with the delivery service.,Negative
The new update made the app so much better!,Positive
This was the best concert I’ve ever attended.,Positive
I wouldn’t recommend this product to anyone.,Neutral
"Pretty average, nothing to write home about.",Positive
This airline has the friendliest staff ever!,Neutral
